year,smb_tw_gt,d_tw_gt,mb_tw_gt,cum_mb_tw_gt
1972,485.8000,452.9106,32.8894,32.8894
1973,534.3200,452.9066,81.4134,114.3028
1974,461.4000,453.3171,8.0829,122.3857
1975,410.4800,454.4901,-44.0101,78.3756
1976,469.6400,456.7278,12.9122,91.2878
1977,554.7600,460.5887,94.1713,185.4591
1978,458.8700,464.5089,-5.6389,179.8201
1979,455.6600,468.4487,-12.7887,167.0314
1980,435.8900,472.3401,-36.4501,130.5813
1981,292.8000,468.8312,-176.0312,-45.4499
1982,308.8300,465.3555,-156.5255,-201.9753
1983,399.0600,461.8508,-62.7908,-264.7662
1984,502.6100,458.4549,44.1551,-220.6111
1985,473.5500,457.7232,15.8268,-204.7843
1986,388.1100,451.7410,-63.6310,-268.4153
1987,538.0700,460.9494,77.1206,-191.2946
1988,377.9300,460.3923,-82.4623,-273.7569
1989,291.6800,446.5946,-154.9146,-428.6715
1990,340.6900,446.4744,-105.7844,-534.4559
1991,436.9600,443.6801,-6.7201,-541.1760
1992,443.2100,453.5624,-10.3524,-551.5284
1993,437.6000,459.9720,-22.3720,-573.9004
1994,412.0500,456.1439,-44.0939,-617.9943
1995,268.7600,448.8284,-180.0684,-798.0626
1996,477.4500,449.4807,27.9693,-770.0933
1997,446.0800,460.7722,-14.6922,-784.7855
1998,461.7900,455.7282,6.0618,-778.7237
1999,316.8200,445.1859,-128.3659,-907.0896
2000,372.5700,456.3899,-83.8199,-990.9095
2001,390.5800,451.3448,-60.7648,-1051.6743
2002,317.1300,475.6158,-158.4858,-1210.1601
2003,429.4500,487.1338,-57.6838,-1267.8439
2004,306.2100,507.6139,-201.4039,-1469.2479
2005,368.5200,537.9382,-169.4182,-1638.6660
2006,282.0200,524.0588,-242.0388,-1880.7049
2007,272.6000,515.2536,-242.6536,-2123.3585
2008,222.6000,517.0803,-294.4803,-2417.8388
2009,334.9700,515.6986,-180.7286,-2598.5675
2010,242.5300,523.9427,-281.4127,-2879.9802
2011,243.9300,537.4563,-293.5263,-3173.5065
2012,223.5400,543.2599,-319.7199,-3493.2264
2013,235.8200,525.7244,-289.9044,-3783.1308
2014,369.6800,533.6101,-163.9301,-3947.0609
2015,315.0400,538.8868,-223.8468,-4170.9078
2016,313.1100,538.2749,-225.1649,-4396.0726
2017,287.2200,539.9459,-252.7259,-4648.7985
2018,441.7600,555.1155,-113.3555,-4762.1541
